Simulation name,C-N coupling,Disturbance,Aboveground biomass removed,SOM removed,Grass regrowing,Soil temperature change,N deposition level
sc0,No,No,0%,0%,No,none,control
sc1,No,Yes,90%,0%,No,none,control
sc3,No,Yes,90%,0%,Yes,none,control
sc4,No,Yes,90%,0%,No,5 deg C,control
cn0,Yes,No,90%,0%,No,none,control
cn1,Yes,Yes,0%,0%,No,none,control
cn2,Yes,Yes,90%,0%,No,none,control
cn3,Yes,Yes,90%,0%,Yes,none,control
cn4,Yes,Yes,90%,0%,No,5 deg C,control
cn5,Yes,Yes,90%,50%,No,none,control
cn6,Yes,Yes,90%,0%,No,none,Low
cn7,Yes,Yes,90%,0%,No,none,High
